,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000375640|tnpB|WP_009684097.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,100,228,111,3.22e-78,112,1,111,1,111,mobileOG_000375640,tnpB,WP_009684097.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000375640_NODE_1_length_876554_cov_55.360529
1,mobileOG_000343667|tnpB|WP_136917516.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,99.1,228,111,4.58e-78,112,1,111,1,111,mobileOG_000343667,tnpB,WP_136917516.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000343667_NODE_1_length_876554_cov_55.360529
2,mobileOG_000332057|tnpB|WP_004575513.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,92.8,217,111,1.22e-73,112,1,111,1,111,mobileOG_000332057,tnpB,WP_004575513.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000332057_NODE_1_length_876554_cov_55.360529
3,mobileOG_000276319|tnpB|Q877N3|integration/excision|NA|ISFinder|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,92.8,216,111,2.46e-73,112,1,111,1,111,mobileOG_000276319,tnpB,Q877N3,integration/excision,NA,ISFinder,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000276319_NODE_1_length_876554_cov_55.360529
4,mobileOG_000269123|tnpB|A0A0H2ZH61|integration/excision|NA|ICE|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,92.8,216,111,3.49e-73,112,1,111,1,111,mobileOG_000269123,tnpB,A0A0H2ZH61,integration/excision,NA,ICE,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000269123_NODE_1_length_876554_cov_55.360529
5,mobileOG_000023559|tnpB|A0A517CTI4|integration/excision|NA|Multiple|Manual,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.9,215,111,4.96e-73,112,1,111,1,111,mobileOG_000023559,tnpB,A0A517CTI4,integration/excision,NA,Multiple,Manual,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000023559_NODE_1_length_876554_cov_55.360529
6,mobileOG_000282443|tnpB|WP_065760316.1|integration/excision|NA|Multiple|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.9,215,111,7.05e-73,112,1,111,1,111,mobileOG_000282443,tnpB,WP_065760316.1,integration/excision,NA,Multiple,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000282443_NODE_1_length_876554_cov_55.360529
7,mobileOG_000293147|tnpB|A0A5N7XX90|integration/excision|NA|Plasmid RefSeq|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.9,215,121,9.75e-73,112,11,121,1,111,mobileOG_000293147,tnpB,A0A5N7XX90,integration/excision,NA,Plasmid RefSeq,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000293147_NODE_1_length_876554_cov_55.360529
8,mobileOG_000342742|tnpB|WP_031598365.1|integration/excision|NA|Multiple|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.9,214,111,1.00e-72,112,1,111,1,111,mobileOG_000342742,tnpB,WP_031598365.1,integration/excision,NA,Multiple,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000342742_NODE_1_length_876554_cov_55.360529
9,mobileOG_000276152|tnpB|A0A5N7XX90|integration/excision|NA|ISFinder|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.9,215,129,1.27e-72,112,19,129,1,111,mobileOG_000276152,tnpB,A0A5N7XX90,integration/excision,NA,ISFinder,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000276152_NODE_1_length_876554_cov_55.360529
