,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000049150|clpP|WP_001049162.1|phage|replication/recombination/repair|Multiple|Homology,NODE_2_length_296183_cov_24.419809_116 # 120266 # 120847 # -1 # ID=2_116;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395,100,378,193,1.03e-134,194,1,193,1,193,mobileOG_000049150,clpP,WP_001049162.1,phage,replication/recombination/repair,Multiple,Homology,NODE_2_length_296183_cov_24.419809_116, 120266 # 120847 # -1 , 120266,120847,-1 ,2_116,2,116,00,ATG,AGGAG,5-10bp,0.395,NODE_2_length_296183_cov_24.419809,mobileOG_000049150_NODE_2_length_296183_cov_24.419809
1,"mobileOG_000345723|copR|WP_098010173.1|transfer|conjugation,relaxosome|Plasmid RefSeq|Homology",NODE_2_length_296183_cov_24.419809_139 # 141800 # 142477 # 1 # ID=2_139;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.344,92.9,418,225,1.66e-149,226,1,225,1,225,mobileOG_000345723,copR,WP_098010173.1,transfer,"conjugation,relaxosome",Plasmid RefSeq,Homology,NODE_2_length_296183_cov_24.419809_139, 141800 # 142477 # 1 , 141800,142477,1 ,2_139,2,139,00,GTG,GGAG/GAGG,5-10bp,0.344,NODE_2_length_296183_cov_24.419809,mobileOG_000345723_NODE_2_length_296183_cov_24.419809
2,mobileOG_000032074|dnaB|A9VS82|replication/recombination/repair|NA|ACLAME|Homology,NODE_5_length_226110_cov_17.375746_225 # 222258 # 223568 # 1 # ID=5_225;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364,96.6,818,440,1.50e-300,437,5,440,1,436,mobileOG_000032074,dnaB,A9VS82,replication/recombination/repair,NA,ACLAME,Homology,NODE_5_length_226110_cov_17.375746_225, 222258 # 223568 # 1 , 222258,223568,1 ,5_225,5,225,00,ATG,GGA/GAG/AGG,5-10bp,0.364,NODE_5_length_226110_cov_17.375746,mobileOG_000032074_NODE_5_length_226110_cov_17.375746
3,mobileOG_000026482|topB|A0A2C9YRR7|replication/recombination/repair|NA|Plasmid RefSeq|Manual,NODE_6_length_197494_cov_23.651732_85 # 91152 # 93341 # -1 # ID=6_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358,99.0,1418,729,0.0,730,1,729,1,729,mobileOG_000026482,topB,A0A2C9YRR7,replication/recombination/repair,NA,Plasmid RefSeq,Manual,NODE_6_length_197494_cov_23.651732_85, 91152 # 93341 # -1 , 91152,93341,-1 ,6_85,6,85,00,ATG,AGGA,5-10bp,0.358,NODE_6_length_197494_cov_23.651732,mobileOG_000026482_NODE_6_length_197494_cov_23.651732
4,mobileOG_000367884|topB|WP_063220210.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_6_length_197494_cov_23.651732_85 # 91152 # 93341 # -1 # ID=6_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358,94.9,1365,729,0.0,730,1,729,1,729,mobileOG_000367884,topB,WP_063220210.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_6_length_197494_cov_23.651732_85, 91152 # 93341 # -1 , 91152,93341,-1 ,6_85,6,85,00,ATG,AGGA,5-10bp,0.358,NODE_6_length_197494_cov_23.651732,mobileOG_000367884_NODE_6_length_197494_cov_23.651732
5,mobileOG_000389472|ply511|A0A0A7AQV3|phage|lysis/lysogeny|pVOG|Homology,NODE_11_length_146694_cov_11.291787_121 # 107521 # 108585 # -1 # ID=11_121;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.371,92.9,673,354,3.07e-246,355,1,354,1,354,mobileOG_000389472,ply511,A0A0A7AQV3,phage,lysis/lysogeny,pVOG,Homology,NODE_11_length_146694_cov_11.291787_121, 107521 # 108585 # -1 , 107521,108585,-1 ,11_121,11,121,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.371,NODE_11_length_146694_cov_11.291787,mobileOG_000389472_NODE_11_length_146694_cov_11.291787
6,mobileOG_000039255|ply511|Q81EQ5|phage|lysis/lysogeny|ACLAME|Homology,NODE_11_length_146694_cov_11.291787_121 # 107521 # 108585 # -1 # ID=11_121;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.371,92.1,666,354,2.41e-243,355,1,354,1,354,mobileOG_000039255,ply511,Q81EQ5,phage,lysis/lysogeny,ACLAME,Homology,NODE_11_length_146694_cov_11.291787_121, 107521 # 108585 # -1 , 107521,108585,-1 ,11_121,11,121,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.371,NODE_11_length_146694_cov_11.291787,mobileOG_000039255_NODE_11_length_146694_cov_11.291787
7,mobileOG_000285983|ply511|A0A0A7AQV3|phage|lysis/lysogeny|Plasmid RefSeq|Homology,NODE_11_length_146694_cov_11.291787_121 # 107521 # 108585 # -1 # ID=11_121;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.371,92.6,622,323,1.79e-226,355,1,323,32,354,mobileOG_000285983,ply511,A0A0A7AQV3,phage,lysis/lysogeny,Plasmid RefSeq,Homology,NODE_11_length_146694_cov_11.291787_121, 107521 # 108585 # -1 , 107521,108585,-1 ,11_121,11,121,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.371,NODE_11_length_146694_cov_11.291787,mobileOG_000285983_NODE_11_length_146694_cov_11.291787
8,mobileOG_000382957|dit|A0A242Y6C2|phage|structural|pVOG|Homology,NODE_11_length_146694_cov_11.291787_126 # 113518 # 114948 # -1 # ID=11_126;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370,92.0,909,494,0.0,477,19,494,1,476,mobileOG_000382957,dit,A0A242Y6C2,phage,structural,pVOG,Homology,NODE_11_length_146694_cov_11.291787_126, 113518 # 114948 # -1 , 113518,114948,-1 ,11_126,11,126,00,ATG,None,None,0.370,NODE_11_length_146694_cov_11.291787,mobileOG_000382957_NODE_11_length_146694_cov_11.291787
9,mobileOG_000385983|dit|A0A2A8W9C4|phage|structural|pVOG|Homology,NODE_11_length_146694_cov_11.291787_126 # 113518 # 114948 # -1 # ID=11_126;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370,91.8,904,494,0.0,477,19,494,1,476,mobileOG_000385983,dit,A0A2A8W9C4,phage,structural,pVOG,Homology,NODE_11_length_146694_cov_11.291787_126, 113518 # 114948 # -1 , 113518,114948,-1 ,11_126,11,126,00,ATG,None,None,0.370,NODE_11_length_146694_cov_11.291787,mobileOG_000385983_NODE_11_length_146694_cov_11.291787
